Name,SMILES,Molar Mass,CAS Number,Experimental Solubility in Water(mg/L),Experimental Solubility in Water(g/L),Experimental Solubility in Water(mol/L),LogS,Temperature,Experiment Reference,Datagroup,Solvation Energy,Dipole Moment,Molecular Volume,Molecular Surface Area,QXX,QYY,QZZ,Standard InChIKey,Cal logP,Cal MR,TPSA,Labute ASA,Balaban J index,Bertz CT index,Isomer
Trisiloxane. 1.1.1.3.5.5.5-heptamethyl-,C[Si](O[Si](C)(C)C)O[Si](C)(C)C,222.51,001873-88-7,0.02,0.00002,8.98836E-08,-7.046319538,22,OChem,G2,45.35761982,3.864184341,181.742,301.122,-15.49504913,10.92371428,4.571334849,SWGZAKPJNWCPRY-UHFFFAOYSA-N,2.8074,60.48,18.46,80.38894464,3.830355464,120.5673646,1
Deferoxamine,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O,560.7,000070-51-9,12000,12,0.021401819,-1.66954931,20,MERCK INDEX (1996),G2,46.28589825,12.40679434,355.607,655.973,105.5448012,-81.79265765,-23.75214355,UBQYURCVBFRUQT-UHFFFAOYSA-N,0.9221,141.2673,205.84,230.2694051,3.750611399,739.3513783,1
(Nitrilotris(methylene))triphosphonic acid,C(N(CP(=O)(O)O)CP(=O)(O)O)P(=O)(O)O,299.05,006419-19-8,1000000,1000,3.343922421,0.524256193,25,GLEDHILL.WE & FEIJTEL.TCJ (1992),G2,47.82004488,13.09866153,148.304,267.65,-61.0674335,22.9362322,38.1312013,YDONNITUKPKTIG-UHFFFAOYSA-N,-1.306,52.5723,175.83,90.38319269,4.721232027,305.1368501,1
NARINGINE,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O,580.55,010236-47-2,1000,1,0.001722505,-2.763839629,40,Frontiers in Oncology 2020; 10.doi.10.3389/fonc.2020.00121,G2,48.3701892,4.650560983,325.036,581.921,109.3929159,-85.57385689,-23.81905897,DFPMSGMNTNDNHN-ZPHOTFPESA-N,-1.1652,134.1469,225.06,233.0282538,1.410692039,1237.263976,1024
METRIZAMIDE,CN(C(C)=O)C1=C(I)C(C(=O)N[C@@H]2C(O)OC(CO)[C@@H](O)C2O)=C(I)C(NC(C)=O)=C1I,789.1,031112-62-6,500000,500,0.633633253,-0.198162039,25,Frontiers in Oncology 2020; 10.doi.10.3389/fonc.2020.00121,G2,49.72438447,10.74889085,317.545,522.175,65.34059025,-13.24526103,-52.09532922,BAQCROVBDNBEEB-OPRFMTNSSA-N,-0.0288,139.2141,168.66,224.2249963,2.557128601,931.4663406,32
DIETHYLENETRIAMINEPENTAACETIC ACID,C(CN(CC(=O)O)CC(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O,393.35,000067-43-6,4800,4.8,0.012202873,-1.913537917,25,BEILSTEIN,G2,51.15350643,9.302731859,234.206,420.055,76.94095249,7.801687618,-84.74264011,QPCDCPDFJACHGM-UHFFFAOYSA-N,-2.6846,87.499,196.22,153.5417788,4.845969157,481.2612253,1
Adenosine Triphosphate,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,507.19,000056-65-5,1000000,1000,1.971647706,0.294829318,25,Frontiers in Oncology 2020; 10.doi.10.3389/fonc.2020.00121,G2,55.4897447,17.08950469,220.774,387.101,65.7620338,10.59404274,-76.35607654,ZKHQWZAMYRWXGA-KQYNXXCUSA-N,-1.629,95.4757,279.13,171.2183291,1.6894094,1104.784407,64
Bilirubin,CC1=C(NC(=C1CCC(=O)O)CC2=C(C(=C(N2)/C=C\3/C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)/C=C\4/C(=C(C(=O)N4)C=C)C,584.68,000635-65-4,9,0.009,1.5393E-05,-4.812675729,25,BEILSTEIN,G2,55.61385443,8.36844008,384.352,667.119,-163.255885,51.92829276,111.3275923,BPYKTIZUTYGOLE-IFADSCNNSA-N,4.53124,163.8124,164.38,249.2153708,1.804568058,1705.949613,4
AMIKACIN,C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1NC(=O)[C@H](CCN)O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)N)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CN)O)O)O)N,585.61,037517-28-5,185000,185,0.315909906,-0.500436756,25,Frontiers in Oncology 2020; 10.doi.10.3389/fonc.2020.00121,G2,65.56343969,12.63212632,297.541,563.927,93.98201356,0.071829298,-94.05384286,LKCWBDHBTVXHDL-RMDFUYIESA-N,-8.4242,131.4257,331.94,229.26454,1.847903729,815.0542714,1024
2-(carbamoylamino)-3-methylbutanoic acid,CC(C)C(C(=O)O)NC(=O)N,160.17,026081-00-5,4700,4.7,0.029343822,-1.532483318,20,BEILSTEIN,G2,70.83537029,10.36559318,110.513,199.481,-34.19969601,25.03241012,9.167285889,JDXMIYHOSFNZKO-UHFFFAOYSA-N,-0.2361,38.9809,92.42,64.57099243,4.115294608,167.2103308,2
2-(2-methoxy-4-prop-2-enylphenoxy)acetic acid,COC1=C(C=CC(=C1)CC=C)OCC(=O)O,222.24,006331-61-9,1170,1.17,0.005264579,-2.278636367,25,BEILSTEIN,G2,76.10370066,20.13787124,159.498,275.024,-77.47840441,32.72889518,44.74950922,FQBPCNCFOCPCJP-UHFFFAOYSA-N,1.8871,60.0258,55.76,94.11429908,2.833357502,384.6051922,1
Glycine. N-naphthalene-2-sulfonyl)-,C1=CC=C2C=C(C=CC2=C1)S(=O)(=O)NCC(=O)[O-],265.29,092740-48-2,375,0.375,0.001413547,-2.849689612,20,BEILSTEIN,G2,79.6718012,10.07036793,161.595,275.668,-53.1954046,37.7881672,15.4072374,MTFDMQASMMCFHB-UHFFFAOYSA-N,-0.132,64.1435,86.3,104.1093458,2.382556427,694.0445575,1
OXYTETRACYLCINE,CN(C)[C@H]1[C@@H]2[C@@H](O)C3C(=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O)C(=O)C1=C(C=CC=C1O)[C@@]3(C)O,460.44,000079-57-2,313,0.313,0.000679785,-3.167628708,25,Frontiers in Oncology 2020; 10.doi.10.3389/fonc.2020.00121,G2,80.41967065,25.12607088,233.863,418.498,151.4046106,-21.15486849,-130.2497421,OLRBUPVCLOPDOT-GETZKYKJSA-N,-1.2436,110.9307,201.85,187.2234706,2.102541529,1182.306622,64
1H-Purine-1-acetic acid. 2.3.6.7-tetrahydro-3.7-,CN1C=NC2=C1C(=O)N(C(=O)N2C)CC(=O)[O-],238.2,005614-56-2,10000,10,0.041981528,-1.376941757,25,BEILSTEIN,G2,81.61729674,22.16325909,145.408,249.758,-63.25306533,23.94279606,39.31026927,YCTSCXLOPJCPDH-UHFFFAOYSA-N,-2.8164,55.222,101.95,94.34965498,2.943934293,720.8966855,1
DL-lysine. N2-benzoyl-,C1=CC=C(C=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)[O-],250.3,116783-33-6,1300,1.3,0.005193767,-2.284517497,25,Frontiers in Oncology 2020; 10.doi.10.3389/fonc.2020.00121,G2,85.15434214,33.44411945,177.203,312.139,117.0319155,-81.15495921,-35.87695629,IYHOIXNPULYXFO-NSHDSACASA-N,-1.0529,64.3093,96.87,105.9930288,2.554506468,392.4826469,2
1.3-propanediol. 2-amino-1-(4-nitrophenyl)-. [R-,C1=CC(=CC=C1C(C(CO)N)O)[N+](=O)[O-],212.21,000716-61-0,2600,2.6,0.012252015,-1.911792497,20,BEILSTEIN,G2,89.33989047,22.8186926,143.355,255.736,46.7865042,-40.0716698,-6.7148344,OCYJXSUPZMNXEN-RKDXNWHRSA-N,-0.0522,53.1174,109.62,86.10756339,2.838370278,338.4705103,4
N-HEPTANE,CCCCCCC,100.205,000142-82-5,3.4,0.0034,3.39304E-05,-4.469410475,25,YALKOWSKY;SH & DANNENFELSER;RM (1992),G2,0.626357941,0.050944738,89.693,167.958,-0.725001725,0.484382648,0.240619077,IMNFDUFMRHMDMM-UHFFFAOYSA-N,2.9767,34.433,0,46.92890371,2.447472888,19.21928095,1
2-METHYL-2-NITRO-1-PROPANOL,CC(C)(CO)[N+](=O)[O-],119.12,000076-39-1,3500000,3500,29.38213566,1.46808336,20,DEWEY;RH & BOLLMEIER;AFJR (1978),G2,9.787893649,4.266449667,83.636,153.019,-13.43852301,12.66856617,0.769956841,MVGJRISPEUZYAQ-UHFFFAOYSA-N,0.034,28.1592,63.37,47.28128685,3.908496638,99.45654517,1
ETHYLENE CYANOHYDRIN,C(CO)C#N,71.08,000109-78-4,1000109.193,1000.109193,14.07019124,1.1483,20,YALKOWSKY.SH & DANNENFELSER.RM (1992,G2,9.824106634,3.94800708,68.983,119.609,-15.69740616,5.111837135,10.58556902,WSGYTJNNHPZFKR-UHFFFAOYSA-N,-0.10762,17.3158,44.02,30.65594869,2.483699571,45.34497797,1
OCTAMETHYLPYROPHOSPHORAMIDE,CN(C)P(=O)(N(C)C)OP(=O)(N(C)C)N(C)C,286.2501,000152-16-9,1000105.112,1000.105112,3.493815765,0.5433,20,YALKOWSKY.SH & DANNENFELSER.RM (1992) G2,G2,16.11583128,6.753551553,180.938,327.083,22.03487998,-4.811698351,-17.22318163,SZKKRCSOSQAJDE-UHFFFAOYSA-N,1.4656,71.046,56.33,104.4241036,5.391868472,287.6619927,1
cacodylic acid,C[As](=O)(C)O,137.9977,000075-60-5,2000000,2000,14.49299517,1.161158148,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G2,16.79740279,5.944102784,73.039,130.086,-15.22488265,13.27500999,1.949872658,OGGXGZAMXPVRFZ-UHFFFAOYSA-N,0.111,20.3873,37.3,33.83812657,3.472066496,53.78353987,1
(Z)-2-methylbut-2-enedioic acid,C/C(=C/C(=O)O)/C(=O)O,130.1,007407-59-2,783000,783,6.018447348,0.779484465,25,YALKOWSKY;SH & DANNENFELSER;RM (1992) G2,G2,18.11290409,6.83977563,93.437,163.879,19.99090189,-10.68715557,-9.303746314,HNEGQIOMVPPMNR-IHWYPQMZSA-N,0.1019,29.0286,74.6,51.42092816,4.169214534,167.7968083,2
"PHENOL. 4.4'.4""-[(2.4.6-TRIMETHYL-1.3.5-BENZENET",CC1=C(C(=C(C(=C1CC2=CC(=C(C(=C2)C(C)(C)C)O)C(C)(C)C)C)CC3=CC(=C(C(=C3)C(C)(C)C)O)C(C)(C)C)C)CC4=CC(=C(C(=C4)C(C)(C)C)O)C(C)(C)C,775.22,001709-70-2,1.2,0.0012,1.54795E-06,-5.810243723,25,HEDOC,G2,16.31690375,5.213169921,473.687,857.489,19.27026722,-4.303363479,-14.96690374,VSAWBBYYMBQKIK-UHFFFAOYSA-N,14.28606,245.5914,60.69,347.9336504,2.100861725,1777.660023,1
CYCLOPENTADIENE,C1C=CC=C1,66.1,000542-92-7,680,0.68,0.010287443,-1.987692547,25,Streitweiser; A.; Nebenzahl; L.L.; J. Am. Chem. Soc. 1976; 98; 2188-90.,G3,2.458239624,0.761695926,63.291,108.2,-5.57082573,4.078990149,1.491835581,ZSWFCLXCOIISFI-UHFFFAOYSA-N,1.5025,22.897,0,31.81398227,2.609648109,58.10749561,1
CYCLOPENTANE,C1CCCC1,70.135,000287-92-3,160,0.16,0.002281315,-2.641814819,25,Price. L.C.. Am. Assoc. Petrol. Geol. Bull. 1976. 60. 213-44.,G3,0.468647963,0.016127478,65.98,121.402,1.140739565,-0.542498409,-0.598241156,RGSFGYAAUTVSQA-UHFFFAOYSA-N,1.9505,23.085,0,33.19318833,2.083333333,11.60964047,1
1.1.1.2.2.3.3.4.5.5.5-Undecafluoro-4-(trifluoromethyl)pentane,C(C(C(C(F)(F)F)(F)F)(F)F)(C(F)(F)F)(C(F)(F)F)F,338.044,000355-04-4,0.169,0.000169,4.99935E-07,-6.301086527,25,Kabal'nov. A.S.; Makarov. K.N.; Shcherbakova. O.V.. J. Fluorine Chem. 50. 271-84 (1990).,G3,0.501972015,0.218226435,127.504,221.863,-0.721852878,0.27048012,0.451372758,ROVMKEZVKFJNBD-UHFFFAOYSA-N,4.6522,31.898,0,98.88145724,6.381088547,337.3310931,1
Dodecafluoropentane,C(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,288.036,000678-26-2,1.15,0.00115,3.99256E-06,-5.398748931,25,Kabal'nov. A.S.; Makarov. K.N.; Shcherbakova. O.V.. J. Fluorine Chem. 50. 271-84 (1990).,G3,0.510151394,0.124977528,120.2,209.387,0.336461487,-0.228409668,-0.108051819,NJCBUSHGCBERSK-UHFFFAOYSA-N,4.0169,26.951,0,84.18544432,5.733228776,250.2515635,1
N-PENTANE,CCCCC,72.151,000109-66-0,39.5,0.0395,0.000547463,-3.261645259,25,Price. L.C.. Am. Assoc. Petrol. Geol. Bull. 1976. 60. 213-44.,G3,0.512727403,0.044827979,76.627,141.83,-0.905681801,-0.10673696,1.012418761,OFBQJSOFQDEBGM-UHFFFAOYSA-N,2.1965,25.199,0,34.19901949,2.190609687,7.509775004,1
1-METHYLCYCLOHEXANE,CC1CCCCC1,98.189,000108-87-2,15.8,0.0158,0.000160914,-3.79340575,25,Price. L.C.. Am. Assoc. Petrol. Geol. Bull. 1976. 60. 213-44.,G3,0.515776646,0.105255704,81.885,152.977,0.299785025,-0.190258909,-0.109526115,UAEPNZWRGJTJPN-UHFFFAOYSA-N,2.5866,32.249,0,45.92307256,2.12291795,42,1
N-HEXANE,CCCCCC,86.178,000110-54-3,12.3,0.0123,0.000142728,-3.845491299,25,Aquan-Yuen. M.; Mackay. D.; Shiu. W.Y.. J. Chem. Eng. Data 1979. 24. 30-4.,G3,0.570354081,0.030150296,86.257,159.641,-0.634617558,0.359845322,0.274772236,VLKZOEOYAKHREP-UHFFFAOYSA-N,2.5866,29.816,0,40.5639616,2.339092315,12,1
DECAHYDRONAPHTHALENE,C1CCC2CCCCC2C1,138.254,000091-17-8,0.889,0.000889,6.43019E-06,-5.191775944,25,Price; L.C.; Am. Assoc. Petrol. Geol. Bull. 1976; 60; 213-44,G3,0.586528977,0.079538351,98.036,185.99,-0.746763035,0.224629412,0.522133624,NNBZCPXTIHJBJL-UHFFFAOYSA-N,3.3668,43.916,0,64.01206775,1.925367734,80.60593782,1
Ethylcyclopentane,CCC1CCCC1,98.189,001640-89-7,119,0.119,0.001211948,-2.916515876,20,Englin. B.A.; Plate. A.F.; Tugolukov. V.M. Pryanishnikova. M.A.. Khim. Tekhnol. Topl. Masel 1965. 10. 42-6.,G3,0.616826275,0.033545485,82.523,154.332,-0.96242658,-0.125870908,1.088297488,IFTRQJLVEBNKJK-UHFFFAOYSA-N,2.5866,32.249,0,45.92307256,2.139963319,42,1
1.2-Dichloro-1.1.2.3.3.3-hexafluoropropane,C(C(F)(F)F)(C(F)(F)Cl)(F)Cl,220.923,000661-97-2,96,0.096,0.000434541,-3.361969699,21,du Pont de Nemours & Company. Solubility Relationships between Fluorocarbons and Water. Tech. Bull. B-43. Wilmington. Del.. 17 pp. (1966).,G3,0.620407866,0.263917159,105.466,171.134,1.430569391,0.260581888,-1.691151279,JSEUKVSKOHVLOV-UHFFFAOYSA-N,3.2849,26.547,0,67.06888013,4.748408578,126.8868353,2
2-METHYLPENTANE,CCCC(C)C,86.178,000107-83-5,13,0.013,0.000150851,-3.821453059,25,Price. L.C.. Am. Assoc. Petrol. Geol. Bull. 1976. 60. 213-44.,G3,0.62991495,0.088721879,87.164,161.32,0.806938678,-0.110294865,-0.696643814,AFABGHUZZDYHJO-UHFFFAOYSA-N,2.4425,29.746,0,40.5639616,2.627214848,21.21928095,1
OCTANE,CCCCCCCC,114.232,000111-65-9,0.43,0.00043,3.76427E-06,-5.424319325,25,Price. L.C.. Am. Assoc. Petrol. Geol. Bull. 1976. 60. 213-44.,G3,0.690692724,0.053194283,108.194,203.102,0.76602505,-0.738901675,-0.027123375,TVMXDCGIABBOFY-UHFFFAOYSA-N,3.3668,39.05,0,53.29384583,2.530060457,25.01955001,1
1.1.1.2.2.3.3.4.4.5.5.6.6.6-tetradecafluorohexane,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,338.044,000355-42-0,0.0909,0.0000909,2.689E-07,-6.570409349,25,Kabal'nov. A.S.; Makarov. K.N.; Shcherbakova. O.V.. J. Fluorine Chem. 50. 271-84 (1990).,G3,0.708597839,0.26073255,133.704,232.546,0.884232957,-0.326120832,-0.558112125,ZJIJAJXFLBMLCK-UHFFFAOYSA-N,4.6522,31.898,0,98.88145724,6.082753304,318.8408681,1
1.1.1.2.2.3.3.4.4.5.5.6.6.7.7.8.8.8-octadecafluorooctane,C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,438.059,000307-34-6,0.00166,0.00000166,3.78944E-09,-8.421424519,25,Kabal'nov. A.S.; Makarov. K.N.; Shcherbakova. O.V.. J. Fluorine Chem. 50. 271-84 (1990).,G3,0.727899284,0.249494238,165.195,287.359,1.13581064,-0.612250217,-0.523560423,YVBBRRALBYAZBM-UHFFFAOYSA-N,5.9228,41.792,0,128.2734831,6.612913906,468.2896327,1
N-NONANE,CCCCCCCCC,128.259,000111-84-2,0.121,0.000121,9.43404E-07,-6.025302479,25,Price. L.C.. Am. Assoc. Petrol. Geol. Bull. 1976. 60. 213-44.,G3,0.729297952,0.037856728,120.514,223.174,1.005781915,-0.029896249,-0.975885666,BKIMMITUMNQMOS-UHFFFAOYSA-N,3.7569,43.667,0,59.65878794,2.595082707,33.30296891,1
2.2.3-Trimethylbutane,CC(C)C(C)(C)C,100.205,000464-06-2,27,0.027,0.000269448,-3.569525628,20,Englin. B.A.; Plate. A.F.; Tugolukov. V.M. Pryanishnikova. M.A.. Khim. Tekhnol. Topl. Masel 1965. 10. 42-6.,G3,0.733257482,0.037000238,84.762,159.519,0.526681599,-0.126399861,-0.400281737,ZISSAWUMDACLOM-UHFFFAOYSA-N,2.6885,34.293,0,46.92890371,3.541196965,45.54887502,1
3.3-DIMETHYLPENTANE,CCC(C)(C)CC,100.205,000562-49-2,5.88,0.00588,5.86797E-05,-4.231512066,25,Price. L.C.. Am. Assoc. Petrol. Geol. Bull. 1976. 60. 213-44.,G3,0.742838636,0.048490705,94.115,174.952,-0.437523988,0.032551001,0.404972987,AEXMKKGTQYQZCS-UHFFFAOYSA-N,2.8326,34.363,0,46.92890371,3.360435143,38,1
