Name,SMILES,Molar Mass,CAS Number,Experimental Solubility in Water(mg/L),Experimental Solubility in Water(g/L),Experimental Solubility in Water(mol/L),LogS,Temperature,Experiment Reference,Datagroup,Solvation Energy,Dipole Moment,Molecular Volume,Molecular Surface Area,QXX,QYY,QZZ,Standard InChIKey,Cal logP,Cal MR,TPSA,Labute ASA,Balaban J index,Bertz CT index,Isomer
2-METHYLPROPANE,CC(C)C,58.12,000075-28-5,48.8,0.0488,0.000839642,-3.075905784,25,MCAULIFFE.C (1966),G1,0.491636792,0.077253996,64.188,118.204,0.492991017,-0.231223565,-0.261767451,NNPPMTNAJDCUHE-UHFFFAOYSA-N,1.6623,20.512,0,27.83407737,2.323790008,4.754887502,1
ETHYLCYCLOHEXANE,CCC1CCCCC1,112.22,001678-91-7,6.3,0.0063,5.61397E-05,-4.250729715,20,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,0.528863431,0.047268636,87.237,165.048,0.553033729,-0.029008748,-0.524024981,IIEWJVIFRVWJOD-UHFFFAOYSA-N,2.9767,36.866,0,52.28801468,2.125016255,51.05865003,1
1.2-Dimethylcyclohexane(trans),C[C@H]1CCCC[C@@H]1C,112.2144,006876-23-9,5.2,0.0052,4.63399E-05,-4.334045248,20,Frontiers in Oncology 2020; 10.doi.10.3389/fonc.2020.00121,G1,0.588435976,0.029456797,92.3,172.689,1.015767105,-0.365580687,-0.650186419,KVZJLSYJROEPSQ-YUMQZZPRSA-N,2.8326,36.796,0,52.28801468,2.279400271,56.4385619,3
2.2-DIMETHYLPROPANE,CC(C)(C)C,72.15,000463-82-1,33.2,0.0332,0.000460152,-3.337098252,25,YALKOWSKY.SH ET AL. (2010),G1,0.60106185,0.031841322,73.015,135.775,-0.059283608,0.005241708,0.0540419,CRSOQBOWXPBRES-UHFFFAOYSA-N,2.0524,25.129,0,34.19901949,3.023715784,15.509775,1
PROPYLCYCLOPENTANE,CCCC1CCCC1,112.22,002040-96-2,2.04,0.00204,1.81786E-05,-4.740440097,25,SHAW.DG (1989),G1,0.637181252,0.061719268,95.121,177.658,-0.746319492,-0.151860278,0.89817977,KDIAMAVWIJYWHN-UHFFFAOYSA-N,2.9767,36.866,0,52.28801468,2.058404617,51.05865003,1
1.4-DIMETHYLCYCLOHEXANE_(TRANS),CC1CCC(CC1)C,112.22,002207-04-7,3.84,0.00384,3.42185E-05,-4.46573904,25,SHAW.DG (1989),G1,0.65206651,8.11E-05,92.749,172.237,-0.491047201,-0.000136027,0.491183228,QRMPKOFEUHIBNM-UHFFFAOYSA-N,2.8326,36.796,0,52.28801468,2.192377158,48.4385619,1
2.3-DIMETHYLBUTANE,CC(C)C(C)C,86.18,000079-29-8,22.5,0.0225,0.000261081,-3.583223972,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,0.665053612,0.097002553,84.077,156.016,-0.542395332,0.254688753,0.287706579,ZFFMLCVRJBZUDZ-UHFFFAOYSA-N,2.2984,29.676,0,40.5639616,2.993497243,21.01955001,1
2.4-DIMETHYLPENTANE,CC(C)CC(C)C,100.21,000108-08-7,5.5,0.0055,5.48847E-05,-4.260548373,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,0.706862187,0.115427338,95.429,177.677,-0.552034718,-0.006218249,0.558252967,BZHMBWZPUJHVEE-UHFFFAOYSA-N,2.6885,34.293,0,46.92890371,2.953223175,29.30296891,1
2.3-DIMETHYLPENTANE,CCC(C)C(C)C,100.21,000565-59-3,5.25,0.00525,5.239E-05,-4.280751759,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,0.717765743,0.10393391,92.119,171.674,-0.503860078,0.073026588,0.43083349,WGECXQBGLLYSFP-UHFFFAOYSA-N,2.6885,34.293,0,46.92890371,3.144208207,37.30296891,2
1.1.3-TRIMETHYLCYCLOPENTANE,CC1CCC(C1)(C)C,112.22,004516-69-2,3.73,0.00373,3.32383E-05,-4.478361433,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,0.722521427,0.102745952,95.436,178.392,-0.994551154,0.187685085,0.806866069,OBKHYUIZSOIEPG-UHFFFAOYSA-N,2.8326,36.796,0,52.28801468,2.435439721,82.03910002,2
1.1.3-TRIMETHYLCYCLOHEXANE,CC1CCCC(C1)(C)C,126.24,003073-66-3,1.77,0.00177,1.40209E-05,-4.85322372,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,0.727703456,0.17291883,106.952,199.469,0.919672881,-0.924203429,0.004530548,PYOLJOJPIPCRDP-UHFFFAOYSA-N,3.2227,41.413,0,58.65295679,2.410837013,92.21143267,2
P-MENTHANE,CC1CCC(CC1)C(C)C,140.27,000099-82-1,0.28,0.00028,1.99615E-06,-5.699806766,25,CHEMICALS INSPECTION AND TESTING INSTITU (1992),G1,0.742048516,0.172098714,110.188,207.991,-0.740230864,0.282634999,0.457595865,CFJYNSNXFXLKNS-UHFFFAOYSA-N,3.4687,45.96,0,65.0178989,2.259902596,86.21143267,1
2.2-DIMETHYLPENTANE,CCCC(C)(C)C,100.21,000590-35-2,4.4,0.0044,4.39078E-05,-4.357458386,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,0.752020982,0.060312544,93,173.991,-0.54011034,0.008979105,0.531131235,CXOWYJMDMMMMJO-UHFFFAOYSA-N,2.8326,34.363,0,46.92890371,3.154490065,38.490225,1
CYCLOPENTANE._PENTYL-,CCCCCC1CCCC1,140.27,003741-00-2,0.115,0.000115,8.19847E-07,-6.086266957,25,KERTES.AS (1989),G1,0.809575057,0.104762559,126.58,235.335,1.525953025,-0.032871592,-1.493081433,HPQURZRDYMUHJI-UHFFFAOYSA-N,3.7569,46.1,0,65.0178989,1.911170111,70.10749561,1
2.2-DIMETHYLHEXANE,CCCCC(C)(C)C,114.23,000590-73-8,0.2,0.0002,1.75085E-06,-5.756750181,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,0.832859785,0.064467989,106.861,199.234,-0.422266021,0.332881186,0.089384835,FLTJDUOFAQWHDF-UHFFFAOYSA-N,3.2227,38.98,0,53.29384583,3.111766194,47.54887502,1
2.3.4-TRIMETHYLPENTANE,CC(C)C(C)C(C)C,114.23,000565-75-3,2.3,0.0023,2.01348E-05,-4.696052341,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,0.85528968,0.137770234,103.434,192.754,0.705567731,-0.291642781,-0.41392495,RLPGDEORIPLBNF-UHFFFAOYSA-N,2.9345,38.84,0,53.29384583,3.464226847,45.05865003,1
4-METHYLOCTANE,CCCCC(C)CCC,128.26,002216-34-4,0.115,0.000115,8.96616E-07,-6.047393395,25,KERTES.AS (1989),G1,0.865190051,0.098138617,112.31,211.626,0.255208994,0.169511507,-0.424720501,DOGIHOCMZJUJNR-UHFFFAOYSA-N,3.6128,43.597,0,59.65878794,2.954822573,48,2
2.2.3-TRIMETHYLPENTANE,CCC(C)C(C)(C)C,114.23,000564-02-3,2.4,0.0024,2.10102E-05,-4.677568935,25,RIDDICK.JA ET AL. (1986),G1,0.91461914,0.056023276,103.736,193.103,-0.333752855,-0.009469163,0.343222018,XTDQDBVBDLYELW-UHFFFAOYSA-N,3.0786,38.91,0,53.29384583,3.623281004,56.92878689,2
4.4-Dimethyloctane,CCCCC(C)(C)CCC,142.29,015869-95-1,2.2,0.0022,1.54614E-05,-4.810751699,20,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,0.915477572,0.115856991,121.412,227.391,-0.638763239,0.078119758,0.560643481,ZMEDGZAGMLTROM-UHFFFAOYSA-N,4.0029,48.214,0,66.02373006,3.417511759,72.10749561,1
2.2.5-TRIMETHYLHEXANE,CC(C)CCC(C)(C)C,128.26,003522-94-9,1.15,0.00115,8.96616E-06,-5.047393395,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,0.962250435,0.119862233,114.334,216.617,0.399863874,-0.210857854,-0.18900602,HHOSMYBYIHNXNO-UHFFFAOYSA-N,3.4687,43.527,0,59.65878794,3.28071084,64.59772061,1
CYCLOHEPTENE,C1CCC=CCC1,96.17,000628-92-2,66,0.066,0.000686285,-3.163495681,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,1.353511069,0.409215393,78.705,144.285,-2.547888004,-0.222033297,2.769921301,ZXIJMRYMVAMXQP-UHFFFAOYSA-N,2.5067,32.225,0,45.23346953,2.202927766,54.4385619,1
1-METHYLCYCLOHEXENE,CC1=CCCCC1,96.17,000591-49-1,52,0.052,0.000540709,-3.267036272,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,1.359507452,0.467816689,86.528,156.588,-2.516487873,0.556747481,1.959740392,CTMHWPIWNRWQEG-UHFFFAOYSA-N,2.5067,32.225,0,45.23346953,2.402686087,80.03910002,1
1-HEPTENE,CCCCCC=C,98.19,000592-76-7,18.2,0.0182,0.000185355,-3.731995872,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,1.363976216,0.570646,88.877,163.396,-3.500654237,1.397419034,2.103235203,ZGEGCLOFRBLKSE-UHFFFAOYSA-N,2.7527,34.339,0,46.23930068,2.558780869,37.30296891,1
2-METHYL-2-BUTENE,CC=C(C)C,70.14,000513-35-9,193,0.193,0.00275164,-2.560408453,25,HINE.J & MOOKERJEE.PK (1975),G1,1.375559075,0.271912817,73.154,131.356,-2.593483427,1.639333358,0.954150069,BKOOMYPCSUNDGP-UHFFFAOYSA-N,1.9725,25.105,0,33.50941645,3.143197306,38,1
TRANS-2-BUTENE,C/C=C/C,56.11,000624-64-6,242.5,0.2425,0.004321868,-2.364328526,25,https://echa.europa.eu/registration-dossier/-/registered-dossier/13346//?documentUUID=1950efd8-42c4-413b-97ca-1150b7d3d892,G1,1.424548659,0.000438352,62.984,112.058,-3.022033968,2.260971804,0.761062164,IAQRGUVFOMOMEM-ONEGZZNKSA-N,1.5824,20.488,0,27.14447434,2.549193338,15.21928095,2
1-HEXENE,CCCCC=C,84.16,000592-41-6,50,0.05,0.000594106,-3.226135722,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,1.437642631,0.622165671,84.972,154.537,-2.889440236,2.037376497,0.852063739,LIKMAJRDDDTEIG-UHFFFAOYSA-N,2.3626,29.722,0,39.87435857,2.488403772,29.01955001,1
HEXENE_-_Mixture_of_isomers,CCC/C=C/C,84.16,025264-93-1,50,0.05,0.000594106,-3.226135722,20,BAEHR.AL (1987),G1,1.490276208,0.058853986,86.561,157.637,-3.566425902,2.512165994,1.054259907,RYPKRALMXUUNKS-HWKANZROSA-N,2.3626,29.722,0,39.87435857,2.658099936,35.30296891,2
2-HEPTENE_(TRANS),CCCC/C=C/C,98.19,014686-13-6,14.5,0.0145,0.000147673,-3.830699258,25,HINE.J & MOOKERJEE.PK (1975),G1,1.513574362,0.074541069,92.242,168.085,-3.341104938,0.62533053,2.715774408,OTTZHAVKAVGASB-HWKANZROSA-N,2.7527,34.339,0,46.23930068,2.689157412,44,2
3-METHYL-1-BUTENE,CC(C)C=C,70.14,000563-45-1,130,0.13,0.001853436,-2.732022409,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,1.532507311,0.573842247,70.334,127.246,-2.706884587,1.73645384,0.970430747,YHQXBTXEYZIYOV-UHFFFAOYSA-N,1.8284,25.035,0,33.50941645,2.825749369,27.01955001,1
TRANS-2-PENTENE,CC/C=C/C,70.14,000646-04-8,203,0.203,0.002894212,-2.538469724,25,YAWS.CL ET AL. (1990),G1,1.577722193,0.032317457,74.615,133.781,-3.336513175,0.979424144,2.357089031,QMMOXUPEWRXHJS-HWKANZROSA-N,1.9725,25.105,0,33.50941645,2.622415808,27.01955001,2
ISOBUTENE,CC(=C)C,56.11,000115-11-7,263,0.263,0.004687222,-2.32908452,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,1.593621532,0.803876229,65.072,115.589,-2.463750868,1.897503234,0.566247634,VQTUBCCKSQIDNK-UHFFFAOYSA-N,1.5824,20.488,0,27.14447434,2.803039488,23.01955001,1
2-METHYL-1-PENTENE,CCCC(=C)C,84.16,000763-29-1,78,0.078,0.000926806,-3.033011124,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,1.654173686,0.849718438,81.313,147.808,-2.85376579,2.506641172,0.347124618,WWUVJRULCWHUSA-UHFFFAOYSA-N,2.3626,29.722,0,39.87435857,2.83125711,44,1
(Z)-pent-2-ene,CC/C=C\C,70.134,000627-20-3,203,0.203,0.002894459,-2.538432571,25,MACKAY;D & SHIU;WY (1981) ,G1,1.661477453,0.320190736,78.484,139.394,-3.221015711,0.656362836,2.564652874,QMMOXUPEWRXHJS-HYXAFXHYSA-N,1.9725,25.105,0,33.50941645,2.622415808,27.01955001,2
2-METHYL-1-BUTENE,CCC(=C)C,70.14,000563-46-2,130,0.13,0.001853436,-2.732022409,25,SUZUKI.T (1991),G1,1.671809555,0.820830663,72.555,130.954,-2.673858599,0.485291305,2.188567294,MHNNAWXXUZQSNM-UHFFFAOYSA-N,1.9725,25.105,0,33.50941645,2.847378923,35.30296891,1
1.4-CYCLOHEXADIENE,C1C=CCC=C1,80.13,000628-41-1,700,0.7,0.008735804,-2.058697103,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,1.685212062,0.000246313,68.288,120.964,-5.30924488,0.709548729,4.599696151,UVJHQYIOXKWHFD-UHFFFAOYSA-N,1.8926,27.514,0,38.17892438,2.4,58.03910002,1
OCTENE_(Mixture_of_Isomers),CCCCCCC=C,112.22,000111-66-0,4.1,0.0041,3.65354E-05,-4.437286408,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,1.686783052,0.559950248,102.986,188.469,-2.940400271,0.359698644,2.580701627,KWKAKUADMBZCLK-UHFFFAOYSA-N,3.1428,38.956,0,52.6042428,2.61629309,46,1
4-METHYL-1-PENTENE,CC(C)CC=C,84.16,000691-37-2,48,0.048,0.000570342,-3.243864489,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,1.705545988,0.475935359,85.028,154.386,2.05098595,0.214391649,-2.2653776,WSSSPWUEQFSQQG-UHFFFAOYSA-N,2.2185,29.652,0,39.87435857,2.814144222,35.30296891,1
ISONONENE,CCCCCCCC=C,126.24,000124-11-8,1.12,0.00112,8.87199E-06,-5.051978963,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,1.799380618,0.583730156,114.012,207.986,2.311564947,0.732919871,-3.044484818,JRZJOMJEPLMPRA-UHFFFAOYSA-N,3.5329,43.573,0,58.96918491,2.663883887,55.05865003,1
Piperidine._3-propyl-.,CCCC1CCCNC1,128.22,013603-14-0,12500,12.5,0.097488691,-1.01104576,20,BEILSTEIN,G1,1.883792712,1.720698729,88.999,169.513,-5.070431639,4.580665732,0.489765907,CRZUKKNUMNKBFJ-UHFFFAOYSA-N,1.7861,40.5017,12.03,57.83787686,2.077860755,62.21299941,2
1-DECENE,CCCCCCCCC=C,140.27,000872-05-9,0.57,0.00057,4.06359E-06,-5.391089941,25,KERTES.AS (1989),G1,1.932558817,0.569145105,127.44,233.088,3.103485881,-1.281361436,-1.822124445,AFFLGGQVNFXPEV-UHFFFAOYSA-N,3.923,48.19,0,65.33412703,2.703789901,64.4385619,1
4-Cycloocten-1-amine._N.N-dimethyl-,CN(C)C1CCC/C=C\CC1,153.27,066950-37-6,3850,3.85,0.025119071,-1.599996428,25,BEILSTEIN,G1,2.177625351,1.301984121,107.894,199.866,-5.05192339,3.013479768,2.038443622,BRRJALXGYRSYAI-ARJAWSKDSA-N,2.4369,49.7,3.24,70.08812954,2.3538386,126.8344669,4
4-VINYLCYCLOHEXENE,C=CC1CCC=CC1,108.18,000100-40-3,50,0.05,0.000462193,-3.335176973,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,2.267670941,0.723894251,88.033,158.063,3.025656791,-2.68275383,-0.342902961,BBDKZWKEPDTENS-UHFFFAOYSA-N,2.5287,36.678,0,50.90880861,2.371415796,100.6059378,2
ETHYLIDENE_NORBORNENE,C/C=C/1\CC2CC1C=C2,120.2,016219-75-3,8.9,0.0089,7.40433E-05,-4.130514461,25,CHEMICALS INSPECTION AND TESTING INSTITU (1992),G1,2.325923094,0.468751443,101.144,178.448,3.104182562,-0.985695773,-2.118486789,OJOWICOBYCXEKR-KRXBUXKQSA-N,2.5287,39.111,0,56.26791957,2.289029629,174.4773318,8
2-METHYL-1.3-BUTADIENE,CC(=C)C=C,68.12,000078-79-5,642,0.642,0.009424545,-2.025739611,25,MCAULIFFE.C (1966),G1,2.37331525,0.347432934,72.333,125.924,-5.731473961,2.422551376,3.308922586,RRHGJUQNOFWUDK-UHFFFAOYSA-N,1.7485,25.011,0,32.81981342,3.204805418,51.05865003,1
N.N-Dimethylisopropylamine,CC(C)N(C)C,87.17,000996-35-0,1000000,1000,11.47183664,1.059632954,30,YAWS.CL ET AL. (2001),G1,2.384176621,0.991707212,81.172,149.564,-4.153627252,1.750374413,2.403252839,VMOWKUTXPNPTEN-UHFFFAOYSA-N,0.9564,28.823,3.24,39.95885316,2.993497243,24.91968454,1
1.4-PENTADIENE,C=CCC=C,68.12,000591-93-5,558,0.558,0.008191427,-2.08664044,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,2.406538978,0.150224392,73.633,127.992,2.60970745,-1.280253327,-1.329454123,QYZLKGVUSQXAMU-UHFFFAOYSA-N,1.7485,25.011,0,32.81981342,2.653163075,29.30296891,1
1.6-Heptadiene,C=CCCCC=C,96.17,003070-53-9,44,0.044,0.000457523,-3.33958694,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,2.4417972,0.714833628,94.588,168.06,-4.450570737,3.805991917,0.644578819,GEAWFZNTIFJMHR-UHFFFAOYSA-N,2.5287,34.245,0,45.54969765,2.679549207,45.05865003,1
TRI_N-BUTYLAMINE,CCCCN(CCCC)CCCC,185.36,000102-82-9,142,0.142,0.000766077,-3.115727676,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,2.510112055,0.979131384,160.232,297.109,-3.417714725,2.081035663,1.336679062,IMFACGCPASFAPR-UHFFFAOYSA-N,3.6887,61.164,3.24,84.51344796,3.467990238,72.10571634,1
2.3-DIMETHYL-1.3-BUTADIENE,CC(=C)C(=C)C,82.15,000513-81-5,326,0.326,0.003968351,-2.401389968,25,HINE.J & MOOKERJEE.PK (1975),G1,2.54049893,0.001672306,82.346,144.687,-5.566326535,3.848375584,1.717950951,SDJHPPZKZZWAKF-UHFFFAOYSA-N,2.1386,29.628,0,39.18475554,3.567703455,66.03910002,1
TRIPROPYLAMINE,CCCN(CCC)CCC,143.27,000102-69-2,444,0.444,0.003099044,-2.508772291,20,https://echa.europa.eu/registration-dossier/-/registered-dossier/13397//?documentUUID=25b7ffb4-b7c0-46da-b12f-51ed94a224ff,G1,2.62932483,1.135907751,120.32,224.23,-4.180587417,1.38225812,2.798329297,YFTHZRPMJXBUME-UHFFFAOYSA-N,2.5184,47.313,3.24,65.41862161,3.295082116,47.48394346,1
DIISOPENTYL_ETHER,CC(C)CCOCCC(C)C,158.29,000544-01-4,27.5,0.0275,0.000173732,-3.760120785,20,https://echa.europa.eu/registration-dossier/-/registered-dossier/11852//?documentUUID=a0409de6-f08f-4e79-82aa-e480b60c8144,G1,2.816024583,1.536160758,133.866,249.314,2.983358324,1.304680972,-4.288039295,AQZGPSLYZOOYQP-UHFFFAOYSA-N,3.0952,49.729,9.23,71.13727529,2.909205095,66.94196247,1
DI(N-PROPYL)_ETHER,CCCOCCC,102.18,000111-43-3,4900,4.9,0.04795459,-1.319169818,25,RIDDICK.JA ET AL. (1986),G1,2.834700585,1.52558683,98.426,180.353,4.039766567,-2.229708695,-1.810057873,POLCUAVZOMRGSN-UHFFFAOYSA-N,1.823,31.401,9.23,45.67750683,2.447472888,23.3609904,1
3-Hexyne,CCC#CCC,82.15,000928-49-4,559,0.559,0.006804626,-2.16719576,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,2.84306399,0.105673858,88.015,154.238,8.695924986,-4.805793424,-3.890131562,DQQNMIPXXNPGCV-UHFFFAOYSA-N,1.8098,28.358,0,39.56318699,2.898667618,53.8428331,1
PROPYL_ISOPROPYL_ETHER,CCCOC(C)C,102.18,000627-08-7,4700,4.7,0.04599726,-1.33726804,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,2.945777312,1.651632541,92.151,170.12,3.812871933,-2.552414011,-1.260457922,JIEJJGMNDWIGBJ-UHFFFAOYSA-N,1.8214,31.379,9.23,45.67750683,2.678257743,33.16125946,1
HEXAMETHYLENEIMINE,C1CCCNCC1,99.18,000111-49-9,170000,170,1.714055253,0.234024817,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,2.964575211,1.355015878,81.484,152.241,-4.56515516,4.304818591,0.260336569,ZSIQJIWKELUFRJ-UHFFFAOYSA-N,1.15,31.3377,12.03,45.10799263,2.041666667,23.7931939,1
2-Heptyne,CCCCC#CC,96.17,001119-65-9,164,0.164,0.001705314,-2.768195768,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,2.993863771,0.10198554,101.266,179.196,8.841220159,-4.824069124,-4.017151035,AMSFEMSYKQQCHL-UHFFFAOYSA-N,2.1999,32.975,0,45.92812911,2.782327637,71.77443751,1
2.5-DIMETHYL-2.4-HEXADIENE,CC(=CC=C(C)C)C,110.2,000764-13-6,32,0.032,0.000290381,-3.537031616,25,CHEMICALS INSPECTION AND TESTING INSTITU (1992),G1,3.021125634,0.007899296,110.978,195.96,-7.155178323,0.068478537,7.086699787,DZPCYXCBXGQBRN-UHFFFAOYSA-N,2.9188,38.862,0,51.91463976,3.760065917,92,1
Quinoline._decahydro-,C1CC[C@H]2[C@H](C1)CCCN2,139.24,000767-92-0,11500,11.5,0.082591209,-1.083066174,25,Frontiers in Oncology 2020; 10.doi.10.3389/fonc.2020.00121,G1,3.090356914,1.273539212,98.637,187.065,-5.503207784,4.699677893,0.803529891,POTIYWUALSJREP-BDAKNGLRSA-N,1.9286,42.9827,12.03,63.19698782,1.925367734,85.29589375,4
METHYL_ISOPROPYL_ETHER,CC(C)OC,74.12,000598-53-8,65000,65,0.876956287,-0.057022054,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,3.097008749,1.718263621,73.716,134.164,4.228014631,-1.14875307,-3.079261561,RMGHERXMTMUMMV-UHFFFAOYSA-N,1.0412,22.145,9.23,32.9476226,2.539538861,17.60964047,1
SEC-BUTYL_METHYL_ETHER,CCC(C)OC,88.15,006795-87-5,16400,16.4,0.186046512,-0.730378469,25,WAKITA.K ET AL. (1986),G1,3.117447354,1.712134635,73.748,136.9,4.539377275,-3.745709141,-0.793668133,FVNIMHIOIXPIQT-UHFFFAOYSA-N,1.4313,26.762,9.23,39.31256471,2.754184786,23.11941548,2
METHYL_PROPYL_ETHER,CCCOC,74.12,000557-17-5,30500,30.5,0.411494873,-0.385635571,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,3.130254954,1.792059415,66.686,122.942,-4.295893262,-0.379644762,4.675538023,VNKYTQGIUYNRMY-UHFFFAOYSA-N,1.0428,22.167,9.23,32.9476226,2.190609687,11.11941548,1
2-Methyl-3-hexyne,CCC#CC(C)C,96.17,036566-80-0,173,0.173,0.001798898,-2.744993513,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,3.153380361,0.104040624,98.499,174.238,8.83695181,-4.243265204,-4.593686606,POBOUPFSQKXZFZ-UHFFFAOYSA-N,2.0558,32.905,0,45.92812911,3.236502567,79.94677017,1
1-Hexanamine._N-hexyl-,CCCCCCNCCCCCC,185.36,000143-16-8,129,0.129,0.000695943,-3.15742631,25,YAWS.CL ET AL. (2001),G1,3.155164427,1.382277822,150.816,284.505,5.841329911,0.247119635,-6.088449546,PXSXRABJBXYMFT-UHFFFAOYSA-N,3.7366,61.1537,12.03,84.30347647,2.758149818,71.19366194,1
ETHYL_METHYL_ETHER,CCOC,60.1,000540-67-0,50000,50,0.831946755,-0.079904468,25,YAWS.CL (1992A),G1,3.168621818,1.761174638,58.835,106.984,4.457905774,-3.655753391,-0.802152383,XOBKSJJDNFUZPF-UHFFFAOYSA-N,0.6527,17.55,9.23,26.58268049,1.974744871,5.245112498,1
PENTAMETHYLBENZENE,CC1=CC(=C(C(=C1C)C)C)C,148.25,000700-12-9,15.5,0.0155,0.000104553,-3.980663004,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,3.17777323,0.609537047,108.8,195.914,-8.528856228,5.280869243,3.247986984,BEZDDPMMPIDMGJ-UHFFFAOYSA-N,3.2287,50.127,0,69.25611369,3.455546484,256.3300514,1
2-ETHYLTHIOPHENE,CCC1=CC=CS1,112.19,000872-55-9,292,0.292,0.002602728,-2.584571297,25,YALKOWSKY.SH & DANNENFELSER.RM (1992),G1,3.199177343,1.060183931,93.03,154.945,-8.160357228,0.26850983,7.891847398,JCCCMAAJYSNBPR-UHFFFAOYSA-N,2.3105,33.697,0,47.80165062,2.762608341,118.7359598,1
METHYL_N-BUTYL_ETHER,CCCCOC,88.15,000628-28-4,9010,9.01,0.102212138,-0.990497526,25,SUZUKI.T (1991),G1,3.229272488,1.788475611,80.486,148.523,-6.905667273,0.507636853,6.39803042,CXBDYQVECUFKRK-UHFFFAOYSA-N,1.4329,26.784,9.23,39.31256471,2.339092315,15.90013453,1
sec-Butyl_Ethylamine,CCC(C)NCC,101.19,116724-10-8,62400,62.4,0.616661725,-0.209953006,30,YAWS.CL ET AL. (2001),G1,3.232069121,1.493450705,90.823,169.464,-4.413641551,2.948353176,1.465288375,KFYKZKISJBGVMR-UHFFFAOYSA-N,1.3944,33.4297,12.03,46.11382378,2.831819966,35.16125946,2
1.3.5-TRIETHYLBENZENE,CCC1=CC(=CC(=C1)CC)CC,162.28,000102-25-0,0.014,0.000014,8.62706E-08,-7.064136963,20,MACINTYRE.WG & DEFUR.PO (1985),G1,3.243295794,0.181361931,137.181,244.964,-10.16416528,5.154361907,5.009803371,WJYMPXJVHNDZHD-UHFFFAOYSA-N,3.3738,54.576,0,75.62105581,3.011257354,192.9825555,1
DIBUTYLAMINE,CCCCNCCCC,129.25,000111-92-2,3800,3.8,0.029400387,-1.531646955,20,https://echa.europa.eu/registration-dossier/-/registered-dossier/13527//?documentUUID=05167f2d-4ddf-43e9-8601-7df915f7fa92,G1,3.244696441,1.437881399,118.375,220.525,-4.12840345,0.909591248,3.218812202,JQVDAXLFBXTEQA-UHFFFAOYSA-N,2.1762,42.6857,12.03,58.84370801,2.595082707,37.83229392,1
METHYL_ISOBUTYL_ETHER,CC(C)COC,88.15,000625-44-5,11100,11.1,0.125921724,-0.899899338,25,SUZUKI.T (1991),G1,3.248348964,1.838265554,80.749,148.469,5.226543918,-0.118024939,-5.10851898,ZYVYEJXMYBUCMN-UHFFFAOYSA-N,1.2888,26.714,9.23,39.31256471,2.627214848,25.11941548,1
1.2.3.4-tetrahydronaphthalene,C1CCC2=CC=CC=C2C1,132.2048,000119-64-2,47,0.047,0.000355509,-3.449149366,28,YALKOWSKY;SH & DANNENFELSER;RM (1992),G1,3.260360947,1.035683606,104.25,183.694,-8.065731521,4.104479374,3.961252146,CXWXQJXEFPUFDZ-UHFFFAOYSA-N,2.5654,43.084,0,61.88534042,2.414292094,200.234849,1
M-DIETHYLBENZENE,CCC1=CC(=CC=C1)CC,134.22,000141-93-5,24,0.024,0.000178811,-3.747605993,25,CHEMICALS INSPECTION AND TESTING INSTITU (1992),G1,3.288148756,0.479040093,117.663,207.546,-9.395888204,3.317445708,6.078442496,AFZZYIJIWUTJFO-UHFFFAOYSA-N,2.8114,45.198,0,62.89117158,2.871145729,181.6982132,1
